State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AGRA,AGRA,3,1,5746,857,4657,235,1500,3858,393,20,162,5567,1,20,5717,5670,78,5109,642,2791,2960,4024,1721,5496,252,3615,2136,5079,672
ALIGARH,ALIGARH,2,216,3903,566,2986,569,139,212,3770,186,786,3149,436,5,3680,3833,287,103,4018,329,3790,750,3371,2987,1134,3744,377,337,3784
AMBEDKAR NAGAR,AMBEDKAR NAGAR,1,6,4481,986,2627,880,6,4299,191,4,114,4365,33,14,4401,4468,8,3193,1303,3827,669,3779,717,4141,355,1845,2651,3934,562
Amethi,Amethi,1,43,2936,751,1484,745,145,2655,180,51,552,2377,60,3,2917,2976,4,1394,1586,1334,1646,2019,961,2881,98,1772,1208,2646,333
AMROHA,AMROHA,3,0,2937,714,1795,431,2,2899,40,93,1218,1623,1,8,2925,2934,1,2487,452,2725,216,2420,518,2926,12,2937,4,2928,13
AURAIYA,AURAIYA,8,137,2055,595,1562,42,5,2144,51,3,142,2055,85,3,2111,2199,0,2082,118,2061,139,1863,336,2193,7,1580,620,2199,1
AYODHYA,AYODHYA,7,384,5266,1165,2556,1937,150,4523,987,259,932,4462,1,5,5635,5645,3,4696,964,2553,3107,4071,1589,5301,358,4358,1301,4860,800
AZAMGARH,AZAMGARH,1,367,2623,640,1970,381,5,2708,278,1,8,2980,37,2,2944,2986,0,1234,1757,1831,1160,1339,1652,2983,8,2442,549,2811,180
BAGHPAT,BAGHPAT,1,398,2681,508,1191,1381,2,3068,10,0,358,2722,5,1,3074,3079,1,532,2548,2108,972,1369,1711,2747,333,2804,276,2858,222
BAHRAICH,BAHRAICH,0,0,2900,42,2800,58,8,2846,46,7,5,2888,2,0,2898,2900,0,2049,851,2548,352,2327,573,2674,225,707,2193,2791,109
BALLIA,BALLIA,0,0,2399,1623,776,0,214,2090,95,2,0,2396,0,0,2398,2396,3,0,2399,2384,16,1080,1319,2390,9,747,1652,2400,0
BALRAMPUR,BALRAMPUR,6,310,3423,1286,1652,803,51,3263,656,233,633,3052,7,43,3991,4039,3,3381,364,402,3349,930,2820,3527,223,793,2953,1742,2009
BANDA,BANDA,5,130,3740,2279,1517,81,39,3390,453,26,864,2966,55,45,3690,3830,5,1475,2409,2920,971,2269,1617,3544,346,2688,1192,3458,432
BARABANKI,BARABANKI,2,4,3796,1433,1536,833,529,2752,521,116,716,2970,55,4,3740,3738,64,1288,2513,1936,1866,1721,2080,3665,137,2501,1300,3290,512
BAREILLY,BAREILLY,1,1,1852,122,856,879,2,1661,194,44,178,1630,1,5,1836,1839,13,1820,37,809,1049,1739,116,1838,17,1736,118,1646,210
BASTI,BASTI,9,835,4905,1598,4124,32,4,4428,1322,4,39,5701,1,4,5733,5742,2,8,5751,5737,23,258,5501,5757,3,894,4864,5755,5
BHADOHI,BHADOHI,1,0,3508,231,2144,1134,543,2897,69,1,39,3468,0,7,3495,3506,1,1604,1905,3410,99,3221,284,3508,0,3500,5,3505,4
BIJNOR,BIJNOR,0,1,4496,576,2181,1741,20,4345,134,83,594,3814,82,32,4351,4477,2,3531,968,3369,1131,2975,1521,4294,205,3290,1207,4454,46
BUDAUN,BUDAUN,0,0,1552,32,1024,496,0,765,787,1,54,1497,0,0,1551,1153,397,1388,164,646,906,1405,147,1489,63,1381,170,1391,161
BULANDSHAHR,BULANDSHAHR,0,111,5640,700,2912,2140,3,5597,153,27,701,5022,1,0,5751,5748,3,1347,4405,1211,4542,4610,1143,5710,42,5638,113,5570,183
CHANDAULI,CHANDAULI,1,110,4559,15,1987,2667,175,4302,192,3,5,4660,20,10,4628,4663,0,12,4658,1852,2817,1111,3558,3984,685,4631,39,3135,1535
CHITRAKOOT,CHITRAKOOT,0,66,598,70,493,101,10,626,28,0,183,481,1,1,662,664,0,1,664,570,95,633,32,665,0,580,85,660,5
DEORIA,DEORIA,0,0,2697,1,1607,1089,0,2479,219,63,849,1784,0,1,2690,2695,0,2593,105,2673,25,2642,56,2698,0,2682,16,2695,3
ETAH,ETAH,3,909,2641,385,3066,102,64,1314,2175,2,230,3319,0,3,3546,3548,0,1513,2040,2491,1062,2585,967,3389,164,1544,2009,2354,1199
ETAWAH,ETAWAH,4,487,3107,506,2508,584,63,3525,11,42,517,3038,0,4,3588,3596,1,3013,586,2507,1092,2902,697,3204,396,2450,1149,3533,67
FARRUKHABAD,FARRUKHABAD,0,0,1291,245,617,429,221,830,240,1,2,1288,1,2,1286,1290,0,1203,88,1196,95,923,368,1289,2,1228,63,1285,6
FATEHPUR,FATEHPUR,6,23,2595,1525,1097,2,38,2559,27,2,8,2612,3,2,2618,2621,1,2565,59,2326,298,2048,576,2449,174,2540,83,2467,157
FIROZABAD,FIROZABAD,1,1,2441,529,1672,241,545,1626,272,2,129,2305,83,11,2331,2436,2,1848,595,974,1469,1144,1297,2148,291,695,1747,2385,58
GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,1,286,2063,269,1175,905,170,2158,21,3,377,1968,1,8,2339,2203,145,1132,1217,1316,1033,1502,847,2265,84,1961,388,2037,312
GHAZIABAD,GHAZIABAD,1,824,2773,342,2207,1049,22,3415,160,20,1144,2420,0,6,3591,3548,35,3265,334,1584,2011,1798,1791,3331,256,3096,498,2722,876
GHAZIPUR,GHAZIPUR,0,0,2899,167,1862,870,2,2826,71,485,1757,657,2,0,2897,2899,0,795,2104,2746,153,1252,1647,2898,1,2391,508,2899,0
GONDA,GONDA,3,651,1344,225,1493,180,28,1492,378,68,644,1285,1,2,1994,1995,1,922,976,1475,423,1418,480,1779,119,1020,878,1691,207
GORAKHPUR,GORAKHPUR,1,0,3608,161,2704,745,5,2912,693,70,887,2610,2,3,3600,3567,1,3341,269,3133,473,2313,1266,3536,48,2941,629,3602,8
HAMIRPUR,HAMIRPUR,0,532,1268,701,993,106,2,1442,356,10,109,1680,0,0,1800,1799,1,1651,149,1499,301,1792,8,1720,80,994,806,1793,7
HAPUR,HAPUR,0,1478,3026,898,2709,897,130,4113,261,556,1032,2916,5,6,4493,4504,0,2343,2161,3564,940,1887,2617,3922,576,3117,1387,4021,483
HARDOI,HARDOI,0,11,3525,1659,1872,5,0,3411,126,2,401,3130,0,3,3529,3534,0,3298,239,2183,1353,2405,1132,3096,440,3158,378,3537,0
HATHRAS,HATHRAS,50,1504,979,749,1756,28,109,2311,114,0,8,2522,1,16,2492,2527,2,18,2516,26,2508,677,1857,1656,878,2273,261,26,2508
JALAUN,JALAUN,0,0,2122,2,1887,233,1364,752,6,2,415,1705,91,6,2013,2121,0,2065,57,989,1133,1631,491,2105,17,1377,745,2086,36
JAUNPUR,JAUNPUR,8,4,7704,2595,4548,573,16,6533,1167,26,265,7418,45,23,7624,7703,3,5006,2710,5864,1851,4712,2995,7708,6,1033,6677,7076,640
JHANSI,JHANSI,0,120,1264,7,372,1005,659,718,7,34,498,852,0,1,1382,1380,3,46,1338,250,1134,954,429,1340,43,1336,48,1241,143
KANNAUJ,KANNAUJ,1,41,2495,65,2030,442,16,2134,387,1,41,2493,1,1,2527,2532,1,1901,636,2412,125,1999,537,2537,0,1471,1066,2536,1
KANPUR DEHAT,KANPUR DEHAT,1,32,3364,50,2654,693,156,3035,206,9,95,3293,55,1,3339,3383,14,3175,222,1354,2043,2008,1388,3291,106,2796,601,3335,62
KANPUR NAGAR,KANPUR NAGAR,0,76,4627,34,4473,196,105,4521,78,2,387,4310,17,16,4641,4629,68,4354,350,4627,77,4538,166,4703,0,3827,877,4701,1
Kasganj,Kasganj,0,913,2425,10,2576,752,8,415,2915,5,54,3279,40,3,3295,3336,1,2606,695,2012,1289,1765,1536,3072,229,2568,733,2028,1273
KAUSHAMBI,KAUSHAMBI,0,2,2178,955,1223,2,518,1652,10,3,12,2165,0,3,2170,2177,1,2061,119,1813,367,1147,1033,1864,315,2031,149,1928,252
KHERI,KHERI,1,0,6196,626,5127,443,28,6122,45,6,20,6163,7,33,6111,6181,5,5997,197,5991,204,5827,365,6172,20,5979,215,6111,83
KUSHI NAGAR,KUSHI NAGAR,4,7,2780,803,1390,603,13,2481,303,21,582,2181,4,37,2705,2769,5,2551,246,1981,818,2036,763,2691,109,1788,1011,2641,159
LALITPUR,LALITPUR,0,1,1262,45,802,416,752,509,2,0,143,1120,0,0,1263,1263,0,22,1241,1228,35,1154,109,1263,0,907,356,1258,5
LUCKNOW,LUCKNOW,1,663,4542,1586,3302,318,1186,3347,673,964,3225,1017,89,4,5106,5151,55,5097,109,4972,234,5081,125,5204,2,5137,69,5167,39
MAHARAJGANJ,MAHARAJGANJ,3,0,3157,11,1863,1286,22,2734,404,188,1652,1311,2,14,3123,3148,2,2974,186,2844,318,2995,164,3150,5,2839,317,3154,7
MAHOBA,MAHOBA,0,32,468,66,172,262,74,344,81,14,24,462,0,0,500,500,0,124,376,35,465,437,63,489,11,411,89,444,56
MAINPURI,MAINPURI,3,0,3170,791,1964,419,1548,1403,224,61,266,2846,12,0,3156,3133,39,1980,1195,807,2369,277,2899,2551,625,124,3051,2651,525
MATHURA,MATHURA,0,0,499,184,248,68,51,446,3,30,176,293,24,7,462,467,31,220,280,173,327,250,250,344,156,21,479,345,155
MAU,MAU,1,683,1479,756,1107,300,0,2150,13,2,1,2159,2,8,2152,2156,3,422,1741,1954,209,1739,424,2161,2,78,2085,2154,9
MEERUT,MEERUT,1,294,6847,12,6393,739,337,6495,311,14,1633,5492,15,72,7003,7082,41,6067,1076,6050,1097,5112,2033,6694,450,5056,2089,6539,607
MIRZAPUR,MIRZAPUR,5,8,5781,435,3804,1556,2482,3305,8,6,785,4989,19,7,5762,5784,1,5607,188,4754,1041,3707,2084,5781,2,3486,2303,5779,15
MORADABAD,MORADABAD,2,0,1280,434,617,231,151,919,212,56,359,865,4,3,1255,1278,0,1206,76,1078,204,1104,178,1282,0,366,916,1281,1
MUZAFFARNAGAR,MUZAFFARNAGAR,0,798,1531,823,1428,79,2,1341,991,65,784,1480,0,13,2301,2322,2,2102,233,714,1624,1066,1270,2167,171,1388,947,1927,411
PILIBHIT,PILIBHIT,1,1,4490,665,2131,1697,146,3048,1303,95,1116,3272,0,26,4403,4471,3,4471,27,3035,1464,2367,2131,4414,79,3970,528,3350,1149
PRATAPGARH,PRATAPGARH,2,62,2573,1494,1133,10,256,2338,43,17,10,2610,8,4,2619,2636,1,2217,420,2527,110,2417,219,2634,0,2329,308,2623,14
PRAYAGRAJ,PRAYAGRAJ,1,10,4593,2252,2343,10,1353,3245,8,9,193,4401,0,5,4592,4602,0,4003,603,3978,629,3095,1512,4148,458,4182,424,4594,13
RAE BARELI,RAE BARELI,0,0,4659,640,2180,1839,200,3900,559,39,285,4334,0,0,4659,9,4650,3125,1534,3857,802,3379,1280,4457,202,4639,20,3525,1134
RAMPUR,RAMPUR,0,7,1665,667,849,156,58,1334,280,31,1024,617,0,0,1670,1669,2,1231,441,1319,353,975,697,1514,158,639,1033,1383,289
SAHARANPUR,SAHARANPUR,14,1,2321,174,1795,367,13,1764,559,14,119,2200,0,14,2311,2329,2,1574,762,2100,237,1565,771,2293,44,1675,661,2260,77
SAMBHAL,SAMBHAL,3,0,2297,226,1731,343,215,1964,122,39,390,1870,8,4,2288,2300,0,2185,116,2262,39,1892,409,2270,32,1884,417,2298,4
SANT KABEER NAGAR,SANT KABEER NAGAR,0,291,1865,705,1026,425,37,1705,414,0,19,2136,3,3,2148,2154,0,35,2121,2152,4,199,1956,2156,0,843,1312,2156,0
SHAHJAHANPUR,SHAHJAHANPUR,0,0,2198,40,1360,797,0,2138,60,2,26,2165,2,7,2170,2185,3,2086,112,1745,453,1635,563,2139,58,1877,320,1777,421
SHAMLI,SHAMLI,1,884,1864,666,1501,583,5,2223,522,147,742,1859,1,4,2734,2746,0,1988,762,2566,184,2151,599,2676,74,2063,687,2617,133
SHRAVASTI,SHRAVASTI,1,174,1627,121,871,810,4,1317,481,34,228,1539,0,4,1792,1740,60,897,905,1447,355,1214,586,1452,349,761,1040,1590,211
SIDDHARTH NAGAR,SIDDHARTH NAGAR,1,3,3651,626,1442,1589,1,3595,61,12,1839,1796,1,9,3613,3636,2,163,3495,3645,12,170,3486,3654,1,1124,2532,3658,0
SITAPUR,SITAPUR,3,431,5096,12,4766,753,174,5337,20,21,222,5278,5,6,5480,5508,3,5337,194,5510,23,2465,3066,5488,33,5522,10,5514,19
SONBHADRA,SONBHADRA,4,0,5501,310,4862,333,87,5405,14,15,1215,4267,6,6,5488,5491,3,4771,736,5497,8,5342,142,5495,0,31,5468,5496,10
SULTANPUR,SULTANPUR,6,0,3846,1262,1906,685,9,3638,207,18,320,3512,20,7,3812,3845,2,2756,1098,1867,1987,2059,1795,3425,429,1204,2648,3513,341
UNNAO,UNNAO,3,1,5495,205,5269,25,3355,2131,14,6,595,4893,3,15,5447,5384,109,5495,5,5480,20,5489,11,5497,3,5486,14,5488,12
